M1:gmoverid (L=1.00e-07) X,M1:gmoverid (L=1.00e-07) Y,M1:gmoverid (L=2.00e-07) X,M1:gmoverid (L=2.00e-07) Y,M1:gmoverid (L=3.00e-07) X,M1:gmoverid (L=3.00e-07) Y,M1:gmoverid (L=4.00e-07) X,M1:gmoverid (L=4.00e-07) Y,M1:gmoverid (L=5.00e-07) X,M1:gmoverid (L=5.00e-07) Y,M1:gmoverid (L=6.00e-07) X,M1:gmoverid (L=6.00e-07) Y,M1:gmoverid (L=7.00e-07) X,M1:gmoverid (L=7.00e-07) Y,M1:gmoverid (L=8.00e-07) X,M1:gmoverid (L=8.00e-07) Y,M1:gmoverid (L=9.00e-07) X,M1:gmoverid (L=9.00e-07) Y,M1:gmoverid (L=1.00e-06) X,M1:gmoverid (L=1.00e-06) Y
0.4330000000000001,21.39292902702234,0.4330000000000001,20.31857776151321,0.4330000000000001,19.85327847839435,0.4330000000000001,19.61247324142082,0.4330000000000001,19.38433296012144,0.4330000000000001,19.18223611234097,0.4330000000000001,19.00589009759221,0.4330000000000001,18.85210134425615,0.4330000000000001,18.71740732836611,0.4330000000000001,18.59873879054616
0.4340000000000001,21.32276624506812,0.4340000000000001,20.24912378089262,0.4340000000000001,19.78533328275273,0.4340000000000001,19.54489924305291,0.4340000000000001,19.31703628427458,0.4340000000000001,19.11517419514417,0.4340000000000001,18.93903932090414,0.4340000000000001,18.78544505699957,0.4340000000000001,18.65093172930541,0.4340000000000001,18.53243153823703
0.4350000000000001,21.25253567041444,0.4350000000000001,20.17979244675897,0.4350000000000001,19.71754005494849,0.4350000000000001,19.47747417961941,0.4350000000000001,19.2498914007174,0.4350000000000001,19.04826866939985,0.4350000000000001,18.87234981207001,0.4350000000000001,18.71895466373314,0.4350000000000001,18.58462623026288,0.4350000000000001,18.46629814292761
0.4360000000000001,21.18224255703733,0.4360000000000001,20.11058804408676,0.4360000000000001,19.64990227006989,0.4360000000000001,19.41020141062274,0.4360000000000001,19.18290154987637,0.4360000000000001,18.98152264701554,0.4360000000000001,18.80582455141454,0.4360000000000001,18.65263301589797,0.4360000000000001,18.51849355993319,0.4360000000000001,18.40034121834626
0.4370000000000001,21.11189216412503,0.4370000000000001,20.04151478030941,0.4370000000000001,19.58242331519132,0.4370000000000001,19.34308420962546,0.4370000000000001,19.11606988387416,0.4370000000000001,18.91493914855604,0.4370000000000001,18.73946642529558,0.4370000000000001,18.58648286898234,0.4370000000000001,18.4525363496685,0.4370000000000001,18.33456327997819
0.4380000000000001,21.04148975492227,0.4380000000000001,19.97257678338933,0.4380000000000001,19.5151064877442,0.4380000000000001,19.27612576258939,0.4380000000000001,19.0493994650465,0.4380000000000001,18.84852110202247,0.4380000000000001,18.67327822516472,0.4380000000000001,18.52050688185442,0.4380000000000001,18.38675713306126,0.4380000000000001,18.26896674487178
0.4390000000000001,20.97104059550376,0.4390000000000001,19.90377809992283,0.4390000000000001,19.44795499397326,0.4390000000000001,19.20932916632475,0.4390000000000001,18.98289326458553,0.4390000000000001,18.78227134176898,0.4390000000000001,18.6072626467718,0.4390000000000001,18.4547076162393,0.4390000000000001,18.3211583456699,0.4390000000000001,18.20355393158625
0.4400000000000001,20.90054995347606,0.4400000000000001,19.83512269328563,0.4400000000000001,19.38097194748339,0.4400000000000001,19.1426974270524,0.4400000000000001,18.91655416131442,0.4400000000000001,18.71619260756008,0.4400000000000001,18.54142228951275,0.4400000000000001,18.38908753634162,0.4400000000000001,18.25574232488777,0.4400000000000001,18.1383270602789
0.4410000000000001,20.83002309660601,0.4410000000000001,19.76661444182436,0.4410000000000001,19.31416036788196,0.4410000000000001,19.07623345908313,0.4410000000000001,18.85038494059346,0.4410000000000001,18.65028754376667,0.4410000000000001,18.47575965592062,0.4410000000000001,18.32364900860852,0.4410000000000001,18.19051130995116,0.4410000000000001,18.07328825292807
0.4420000000000001,20.75946529137611,0.4420000000000001,19.6982571370996,0.4420000000000001,19.24752317951909,0.4420000000000001,19.00994008361598,0.4420000000000001,18.78438829335985,0.4420000000000001,18.58455869870361,0.4420000000000001,18.41027715129776,0.4420000000000001,18.25839430163434,0.4420000000000001,18.12546744208421,0.4420000000000001,18.00843953368845
