M1:id (L=1.00e-07) X,M1:id (L=1.00e-07) Y,M1:id (L=2.00e-07) X,M1:id (L=2.00e-07) Y,M1:id (L=3.00e-07) X,M1:id (L=3.00e-07) Y,M1:id (L=4.00e-07) X,M1:id (L=4.00e-07) Y,M1:id (L=5.00e-07) X,M1:id (L=5.00e-07) Y,M1:id (L=6.00e-07) X,M1:id (L=6.00e-07) Y,M1:id (L=7.00e-07) X,M1:id (L=7.00e-07) Y,M1:id (L=8.00e-07) X,M1:id (L=8.00e-07) Y,M1:id (L=9.00e-07) X,M1:id (L=9.00e-07) Y,M1:id (L=1.00e-06) X,M1:id (L=1.00e-06) Y
0.4330000000000001,1.664336388010152e-06,0.4330000000000001,1.111996334189334e-06,0.4330000000000001,8.75532966836607e-07,0.4330000000000001,7.284507780437905e-07,0.4330000000000001,6.317015315721594e-07,0.4330000000000001,5.616241426850941e-07,0.4330000000000001,5.077004988648073e-07,0.4330000000000001,4.644771075169563e-07,0.4330000000000001,4.28805294642447e-07,0.4330000000000001,3.987170296595741e-07
0.4340000000000001,1.700159962274482e-06,0.4340000000000001,1.134740808674198e-06,0.4340000000000001,8.930341289114331e-07,0.4340000000000001,7.428369482747556e-07,0.4340000000000001,6.440323344184988e-07,0.4340000000000001,5.724727933572001e-07,0.4340000000000001,5.174172881831633e-07,0.4340000000000001,4.732945937679398e-07,0.4340000000000001,4.368873029810898e-07,0.4340000000000001,4.061841691597391e-07
0.4350000000000001,1.736631101120031e-06,0.4350000000000001,1.157869572266079e-06,0.4350000000000001,9.108229820232393e-07,0.4350000000000001,7.574558878241367e-07,0.4350000000000001,6.565595452720143e-07,0.4350000000000001,5.834918009878124e-07,0.4350000000000001,5.272847460977796e-07,0.4350000000000001,4.822472886444047e-07,0.4350000000000001,4.450920268710687e-07,0.4350000000000001,4.137637006946321e-07
0.4360000000000001,1.77375832417858e-06,0.4360000000000001,1.181387335371593e-06,0.4360000000000001,9.289029459860527e-07,0.4360000000000001,7.723102912549213e-07,0.4360000000000001,6.692853798301704e-07,0.4360000000000001,5.94683043102355e-07,0.4360000000000001,5.373044992196184e-07,0.4360000000000001,4.913366255047984e-07,0.4360000000000001,4.534207464393782e-07,0.4360000000000001,4.214567800353519e-07
0.4370000000000001,1.811550193459483e-06,0.4370000000000001,1.205298835702876e-06,0.4370000000000001,9.472774600546227e-07,0.4370000000000001,7.874028670846956e-07,0.4370000000000001,6.822120643212912e-07,0.4370000000000001,6.060484054747226e-07,0.4370000000000001,5.474781808071933e-07,0.4370000000000001,5.005640431867677e-07,0.4370000000000001,4.61874746412065e-07,0.4370000000000001,4.292645668715711e-07
0.4380000000000001,1.850015312331716e-06,0.4380000000000001,1.229608838104051e-06,0.4380000000000001,9.659499828056179e-07,0.4380000000000001,8.027363376685514e-07,0.4380000000000001,6.953418353948347e-07,0.4380000000000001,6.175897820254868e-07,0.4380000000000001,5.578074306721501e-07,0.4380000000000001,5.099309859191787e-07,0.4380000000000001,4.704553160318948e-07,0.4380000000000001,4.371882247342858e-07
0.4390000000000001,1.889162324498389e-06,0.4390000000000001,1.25432213437576e-06,0.4390000000000001,9.849239920157428e-07,0.4390000000000001,8.183134390790323e-07,0.4390000000000001,7.086769400093344e-07,0.4390000000000001,6.293090747179997e-07,0.4390000000000001,5.682938950827335e-07,0.4390000000000001,5.194389032322829e-07,0.4390000000000001,4.791637489743708e-07,0.4390000000000001,4.452289209169871e-07
0.4400000000000001,1.928999912964319e-06,0.4400000000000001,1.279443543097327e-06,0.4400000000000001,1.004202984536296e-06,0.4400000000000001,8.341369209831528e-07,0.4400000000000001,7.222196353174519e-07,0.4400000000000001,6.412081934518573e-07,0.4400000000000001,5.78939226665071e-07,0.4400000000000001,5.290892498656845e-07,0.4400000000000001,4.880013432617885e-07,0.4400000000000001,4.533878263950527e-07
0.4410000000000001,1.969536798997903e-06,0.4410000000000001,1.304977909446426e-06,0.4410000000000001,1.023790476163843e-06,0.4410000000000001,8.502095465160786e-07,0.4410000000000001,7.359721885483043e-07,0.4410000000000001,6.53289055954054e-07,0.4410000000000001,5.897450843021172e-07,0.4410000000000001,5.388834856744489e-07,0.4410000000000001,4.969694011754165e-07,0.4410000000000001,4.6166611574341e-07
0.4420000000000001,2.010781741087577e-06,0.4420000000000001,1.330930105015842e-06,0.4420000000000001,1.043690001507113e-06,0.4420000000000001,8.665340921515604e-07,0.4420000000000001,7.499368768867456e-07,0.4420000000000001,6.655535876672533e-07,0.4420000000000001,6.007131330302528e-07,0.4420000000000001,5.488230755328321e-07,0.4420000000000001,5.060692291657438e-07,0.4420000000000001,4.700649670524424e-07
0.4430000000000001,2.052743533894002e-06,0.4430000000000001,1.357305027627091e-06,0.4430000000000001,1.063905113849449e-06,0.4430000000000001,8.831133475686977e-07,0.4430000000000001,7.641159873496383e-07,0.4430000000000001,6.7800372163549e-07,0.4430000000000001,6.118450439334134e-07,0.4430000000000001,5.589094892359985e-07,0.4430000000000001,5.153021377607155e-07,0.4430000000000001,4.785855618420579e-07
0.4440000000000001,2.095431007198606e-06,0.4440000000000001,1.384107601141048e-06,0.4440000000000001,1.084439385006932e-06,0.4440000000000001,8.999501155149961e-07,0.4440000000000001,7.785118166588238e-07,0.4440000000000001,6.906413983869493e-07,0.4440000000000001,6.231424940346835e-07,0.4440000000000001,5.691442013993317e-07,0.4440000000000001,5.246694414718972e-07,0.4440000000000001,4.872290849738493e-07
0.4450000000000001,2.138853024848878e-06,0.4450000000000001,1.411342775264308e-06,0.4450000000000001,1.105296405181771e-06,0.4450000000000001,9.170472116654964e-07,0.4450000000000001,7.931266711106893e-07,0.4450000000000001,7.034685658138048e-07,0.4450000000000001,6.346071661853226e-07,0.4450000000000001,5.795286913554576e-07,0.4450000000000001,5.34172458698573e-07,0.4450000000000001,4.959967245614426e-07
0.4460000000000001,2.183018483701827e-06,0.4460000000000001,1.439015525352138e-06,0.4460000000000001,1.126479782810503e-06,0.4460000000000001,9.344074644778887e-07,0.4460000000000001,8.079628664423958e-07,0.4460000000000001,7.164871790490422e-07,0.4460000000000001,6.462407489510472e-07,0.4460000000000001,5.900644430489442e-07,0.4460000000000001,5.438125116296781e-07,0.4460000000000001,5.048896718788721e-07
0.4470000000000001,2.227936312565608e-06,0.4470000000000001,1.46713085220673e-06,0.4470000000000001,1.147993144407271e-06,0.4470000000000001,9.520337150432452e-07,0.4470000000000001,8.230227276943217e-07,0.4470000000000001,7.296992003401949e-07,0.4470000000000001,6.580449364956199e-07,0.4470000000000001,6.007529449284804e-07,0.4470000000000001,5.535909261436355e-07,0.4470000000000001,5.13909121266996e-07
0.4480000000000001,2.273615471140281e-06,0.4480000000000001,1.495693781870991e-06,0.4480000000000001,1.169840134401336e-06,0.4480000000000001,9.699288169323698e-07,0.4480000000000001,8.383085890688875e-07,0.4480000000000001,7.431065989197048e-07,0.4480000000000001,6.700214284616624e-07,0.4480000000000001,6.115956898366802e-07,0.4480000000000001,5.63509031705912e-07,0.4480000000000001,5.230562700380001e-07
