M0:gm (L=1.00e-07) X,M0:gm (L=1.00e-07) Y,M0:gm (L=2.00e-07) X,M0:gm (L=2.00e-07) Y,M0:gm (L=3.00e-07) X,M0:gm (L=3.00e-07) Y,M0:gm (L=4.00e-07) X,M0:gm (L=4.00e-07) Y,M0:gm (L=5.00e-07) X,M0:gm (L=5.00e-07) Y,M0:gm (L=6.00e-07) X,M0:gm (L=6.00e-07) Y,M0:gm (L=7.00e-07) X,M0:gm (L=7.00e-07) Y,M0:gm (L=8.00e-07) X,M0:gm (L=8.00e-07) Y,M0:gm (L=9.00e-07) X,M0:gm (L=9.00e-07) Y,M0:gm (L=1.00e-06) X,M0:gm (L=1.00e-06) Y
0.4460000000000001,1.810525068887886e-05,0.4460000000000001,1.609631136834707e-05,0.4460000000000001,1.338868906935408e-05,0.4460000000000001,1.097661188815544e-05,0.4460000000000001,9.259168587949538e-06,0.4460000000000001,7.986162692023717e-06,0.4460000000000001,7.010569040104331e-06,0.4460000000000001,6.241681634871885e-06,0.4460000000000001,5.621389632133692e-06,0.4460000000000001,5.111101600133215e-06
0.4470000000000001,1.845983974648108e-05,0.4470000000000001,1.638334426367117e-05,0.4470000000000001,1.361297595271478e-05,0.4470000000000001,1.115458494241237e-05,0.4470000000000001,9.40572826130682e-06,0.4470000000000001,8.110303105065878e-06,0.4470000000000001,7.118022592009982e-06,0.4470000000000001,6.336283714777179e-06,0.4470000000000001,5.705815460998641e-06,0.4470000000000001,5.187283691047097e-06
0.4480000000000001,1.881979145240125e-05,0.4480000000000001,1.667365090730008e-05,0.4480000000000001,1.38393958086508e-05,0.4480000000000001,1.133407837597285e-05,0.4480000000000001,9.553443363592398e-06,0.4480000000000001,8.235363561673808e-06,0.4480000000000001,7.226234469495358e-06,0.4480000000000001,6.431527408447454e-06,0.4480000000000001,5.79079533995413e-06,0.4480000000000001,5.263952059075169e-06
0.4490000000000001,1.918513738003669e-05,0.4490000000000001,1.696722187730685e-05,0.4490000000000001,1.406793235610524e-05,0.4490000000000001,1.151507607479525e-05,0.4490000000000001,9.70229920813903e-06,0.4490000000000001,8.361330905216018e-06,0.4490000000000001,7.335192883398913e-06,0.4490000000000001,6.527402094229373e-06,0.4490000000000001,5.876319634191628e-06,0.4490000000000001,5.341097905279199e-06
0.4500000000000001,1.955590779410688e-05,0.4500000000000001,1.726404674983998e-05,0.4500000000000001,1.42985687419439e-05,0.4500000000000001,1.16975615620316e-05,0.4500000000000001,9.852280868404372e-06,0.4500000000000001,8.488191813667389e-06,0.4500000000000001,7.444885926532906e-06,0.4500000000000001,6.623897063946044e-06,0.4500000000000001,5.962378644144699e-06,0.4500000000000001,5.418712381487109e-06
0.4510000000000001,1.993213161683397e-05,0.4510000000000001,1.756411411183079e-05,0.4510000000000001,1.453128756009891e-05,0.4510000000000001,1.188151801597024e-05,0.4510000000000001,1.000337319371532e-05,0.4510000000000001,8.615932813295295e-06,0.4510000000000001,7.555301585647777e-06,0.4510000000000001,6.721001533457662e-06,0.4510000000000001,6.048962614902288e-06,0.4510000000000001,5.496786598761707e-06
0.4520000000000001,2.03138363952417e-05,0.4520000000000001,1.786741157479875e-05,0.4520000000000001,1.476607087111326e-05,0.4520000000000001,1.206692828811334e-05,0.4520000000000001,1.01555608250116e-05,0.4520000000000001,8.744540292277928e-06,0.4520000000000001,7.666427753295054e-06,0.4520000000000001,6.818704653102403e-06,0.4520000000000001,6.136061745495865e-06,0.4520000000000001,5.57531163574124e-06
0.4530000000000001,2.070104826964427e-05,0.4530000000000001,1.817392578972121e-05,0.4530000000000001,1.500290022203935e-05,0.4530000000000001,1.22537749213523e-05,0.4530000000000001,1.030882821056034e-05,0.4530000000000001,8.874000514229891e-06,0.4530000000000001,7.778252239567411e-06,0.4530000000000001,6.916995518001138e-06,0.4530000000000001,6.223666198044029e-06,0.4530000000000001,5.654278546837079e-06
0.4540000000000001,2.109379194338877e-05,0.4540000000000001,1.848364246292026e-05,0.4540000000000001,1.524175666664723e-05,0.4540000000000001,1.244204016820302e-05,0.4540000000000001,1.046315962160862e-05,0.4540000000000001,9.004299631610375e-06,0.4540000000000001,7.890762783695462e-06,0.4540000000000001,7.015863178208817e-06,0.4540000000000001,6.311766106742031e-06,0.4540000000000001,5.733678370277727e-06
0.4550000000000001,2.149209065391215e-05,0.4550000000000001,1.879654637292771e-05,0.4550000000000001,1.548262078589369e-05,0.4550000000000001,1.263170600906148e-05,0.4550000000000001,1.061853916794583e-05,0.4550000000000001,9.135423698990367e-06,0.4550000000000001,8.003947065481684e-06,0.4550000000000001,7.115296648694668e-06,0.4550000000000001,6.400351586680909e-06,0.4550000000000001,5.813502135985748e-06
0.4560000000000001,2.189596614518058e-05,0.4560000000000001,1.911262138827832e-05,0.4560000000000001,1.572547270861061e-05,0.4560000000000001,1.282275417044546e-05,0.4560000000000001,1.077495081334741e-05,0.4560000000000001,9.26735868615525e-06,0.4560000000000001,8.117792716553753e-06,0.4560000000000001,7.215284919139579e-06,0.4560000000000001,6.489412742483518e-06,0.4560000000000001,5.893740873277905e-06
0.4570000000000001,2.230543864155966e-05,0.4570000000000001,1.943185048618398e-05,0.4570000000000001,1.597029213236186e-05,0.4570000000000001,1.301516614318632e-05,0.4570000000000001,1.093237839087196e-05,0.4570000000000001,9.400090491023283e-06,0.4570000000000001,8.232287331419066e-06,0.4570000000000001,7.315816963532123e-06,0.4570000000000001,6.578939676747044e-06,0.4570000000000001,5.974385618377712e-06
