M1:gm (L=1.00e-07) X,M1:gm (L=1.00e-07) Y,M1:gm (L=2.00e-07) X,M1:gm (L=2.00e-07) Y,M1:gm (L=3.00e-07) X,M1:gm (L=3.00e-07) Y,M1:gm (L=4.00e-07) X,M1:gm (L=4.00e-07) Y,M1:gm (L=5.00e-07) X,M1:gm (L=5.00e-07) Y,M1:gm (L=6.00e-07) X,M1:gm (L=6.00e-07) Y,M1:gm (L=7.00e-07) X,M1:gm (L=7.00e-07) Y,M1:gm (L=8.00e-07) X,M1:gm (L=8.00e-07) Y,M1:gm (L=9.00e-07) X,M1:gm (L=9.00e-07) Y,M1:gm (L=1.00e-06) X,M1:gm (L=1.00e-06) Y
0.4580000000000001,5.446060457217623e-05,0.4580000000000001,3.366164447152028e-05,0.4580000000000001,2.562594717176832e-05,0.4580000000000001,2.092762401151135e-05,0.4580000000000001,1.782683026932875e-05,0.4580000000000001,1.559840913800918e-05,0.4580000000000001,1.390467156508488e-05,0.4580000000000001,1.256575146379146e-05,0.4580000000000001,1.147620495470245e-05,0.4580000000000001,1.05696442470954e-05
0.4590000000000001,5.533463477773855e-05,0.4590000000000001,3.417152070284144e-05,0.4590000000000001,2.600424969417729e-05,0.4590000000000001,2.123113821443391e-05,0.4590000000000001,1.808099829553848e-05,0.4590000000000001,1.581742847609134e-05,0.4590000000000001,1.409729645177848e-05,0.4590000000000001,1.273778030277594e-05,0.4590000000000001,1.163168817329603e-05,0.4590000000000001,1.071152928602992e-05
0.4600000000000001,5.621813301444529e-05,0.4600000000000001,3.468678935418905e-05,0.4600000000000001,2.638644291349951e-05,0.4600000000000001,2.153767165803069e-05,0.4600000000000001,1.833761864907338e-05,0.4600000000000001,1.603850470799307e-05,0.4600000000000001,1.429168796164594e-05,0.4600000000000001,1.291135430795572e-05,0.4600000000000001,1.178854243997649e-05,0.4600000000000001,1.085464513466946e-05
0.4610000000000001,5.711112035010778e-05,0.4610000000000001,3.520747369268708e-05,0.4610000000000001,2.677254265941745e-05,0.4610000000000001,2.184723470578955e-05,0.4610000000000001,1.859669848477553e-05,0.4610000000000001,1.626164294767275e-05,0.4610000000000001,1.448784983645349e-05,0.4610000000000001,1.308647625976117e-05,0.4610000000000001,1.194676983986233e-05,0.4610000000000001,1.099899336226033e-05
0.4620000000000001,5.801361688048995e-05,0.4620000000000001,3.573359669053297e-05,0.4620000000000001,2.716256450282315e-05,0.4620000000000001,2.215983749203716e-05,0.4620000000000001,1.885824475479556e-05,0.4620000000000001,1.648684812832273e-05,0.4620000000000001,1.468578565531255e-05,0.4620000000000001,1.326314879106985e-05,0.4620000000000001,1.210637232325982e-05,0.4620000000000001,1.114457541410132e-05
0.4630000000000001,5.892564173366986e-05,0.4630000000000001,3.626518101463648e-05,0.4630000000000001,2.755652374688456e-05,0.4630000000000001,2.247548991544174e-05,0.4630000000000001,1.912226420360697e-05,0.4630000000000001,1.671412499841777e-05,0.4630000000000001,1.488549883146628e-05,0.4630000000000001,1.344137438454902e-05,0.4630000000000001,1.226735170343014e-05,0.4630000000000001,1.129139260964436e-05
0.4640000000000001,5.984721307441374e-05,0.4640000000000001,3.680224901588773e-05,0.4640000000000001,2.795443541794637e-05,0.4640000000000001,2.279420163244159e-05,0.4640000000000001,1.938876336299735e-05,0.4640000000000001,1.694347811776049e-05,0.4640000000000001,1.5086992609097e-05,0.4640000000000001,1.36211553700236e-05,0.4640000000000001,1.242970965438797e-05,0.4640000000000001,1.143944614063e-05
0.4650000000000001,6.077834810851444e-05,0.4650000000000001,3.734482271807252e-05,0.4650000000000001,2.835631425628248e-05,0.4650000000000001,2.311598205060716e-05,0.4650000000000001,1.965774854703928e-05,0.4650000000000001,1.717491185353782e-05,0.4650000000000001,1.529027006014999e-05,0.4650000000000001,1.380249392187373e-05,0.4650000000000001,1.259344770873439e-05,0.4650000000000001,1.158873706925934e-05
0.4660000000000001,6.171906308706342e-05,0.4660000000000001,3.789292380643949e-05,0.4660000000000001,2.876217470670629e-05,0.4660000000000001,2.344084032195223e-05,0.4660000000000001,1.992922584704938e-05,0.4660000000000001,1.740843037638628e-05,0.4660000000000001,1.549533408118843e-05,0.4660000000000001,1.39853920564669e-05,0.4660000000000001,1.275856725552805e-05,0.4660000000000001,1.173926632640552e-05
0.4670000000000001,6.266937331060189e-05,0.4670000000000001,3.844657361593048e-05,0.4670000000000001,2.917203090905222e-05,0.4670000000000001,2.376878533619558e-05,0.4670000000000001,2.02032011265466e-05,0.4670000000000001,1.764403765648212e-05,0.4670000000000001,1.570218739027816e-05,0.4670000000000001,1.416985162962898e-05,0.4670000000000001,1.292506953819852e-05,0.4670000000000001,1.189103470987008e-05
0.4680000000000001,6.362929313312439e-05,0.4680000000000001,3.900579311908417e-05,0.4680000000000001,2.958589668854194e-05,0.4680000000000001,2.409982571398562e-05,0.4680000000000001,2.047968001621306e-05,0.4680000000000001,1.788173745965219e-05,0.4680000000000001,1.5910832523909e-05,0.4680000000000001,1.435587433415683e-05,0.4680000000000001,1.30929556525045e-05,0.4680000000000001,1.204404288268354e-05
0.4690000000000001,6.459883596589131e-05,0.4690000000000001,3.957060291362404e-05,0.4690000000000001,3.000378554604358e-05,0.4690000000000001,2.443396980010467e-05,0.4690000000000001,2.075866790886819e-05,0.4690000000000001,1.812153334352099e-05,0.4690000000000001,1.612127183396105e-05,0.4690000000000001,1.454346169737991e-05,0.4690000000000001,1.32622265445415e-05,0.4690000000000001,1.219829137145674e-05
0.4700000000000001,6.557801428101462e-05,0.4700000000000001,4.014102320974882e-05,0.4700000000000001,3.042571064824391e-05,0.4700000000000001,2.477122565664992e-05,0.4700000000000001,2.104016995446271e-05,0.4700000000000001,1.836342865369298e-05,0.4700000000000001,1.633350748471443e-05,0.4700000000000001,1.473261507877143e-05,0.4700000000000001,1.343288300880181e-05,0.4700000000000001,1.235378056478306e-05
0.4710000000000001,6.656683961477832e-05,0.4710000000000001,4.071707381713154e-05,0.4710000000000001,3.085168481773639e-05,0.4710000000000001,2.511160105621137e-05,0.4710000000000001,2.132419105509936e-05,0.4710000000000001,1.860742651998176e-05,0.4710000000000001,1.654754144991507e-05,0.4710000000000001,1.492333566761539e-05,0.4710000000000001,1.360492568628972e-05,0.4710000000000001,1.251051071169597e-05
